Date,Open,High,Low,Close,Adj Close,Volume,Mid_price,Price_range,eurusd,usdjpy,usdcny,interest_rate,real_gdp,sticky_cpi
2004-04-01,1438.9100341796875,1457.5899658203125,1438.9100341796875,1453.219970703125,1453.219970703125,1833430000,1448.25,18.679931640625,1.2365065813064575,103.73999786376953,8.266900062561035,1.0,14323.017,2.2577613
2004-04-02,1482.3299560546875,1490.300048828125,1469.5699462890625,1490.300048828125,1490.300048828125,2183740000,1479.9349975585938,20.7301025390625,1.2129004001617432,104.61000061035156,8.266900062561035,1.0,14323.017,2.2577613
2004-04-05,1488.449951171875,1508.3699951171875,1487.22998046875,1508.3699951171875,1508.3699951171875,1736300000,1497.7999877929688,21.1400146484375,1.201302170753479,105.08999633789062,8.266900062561035,1.0,14323.017,2.2577613
2004-04-06,1492.9300537109375,1498.3399658203125,1485.699951171875,1493.5799560546875,1493.5799560546875,1811100000,1492.0199584960938,12.6400146484375,1.213106393814087,105.76000213623047,8.266900062561035,1.0,14323.017,2.2577613
2004-04-07,1489.0999755859375,1492.18994140625,1475.6199951171875,1481.9599609375,1481.9599609375,1774960000,1483.9049682617188,16.5699462890625,1.216604232788086,105.22000122070312,8.266900062561035,1.0,14323.017,2.2577613
2004-04-08,1502.77001953125,1503.3699951171875,1478.43994140625,1485.510009765625,1485.510009765625,1694140000,1490.9049682617188,24.9300537109375,1.2077003717422485,106.41999816894531,8.266900062561035,1.0,14323.017,2.2577613
2004-04-12,1489.5899658203125,1497.5,1488.3499755859375,1495.9300537109375,1495.9300537109375,1501360000,1492.9249877929688,9.1500244140625,1.2073066234588623,105.3499984741211,8.266900062561035,1.0,14323.017,2.2577613
2004-04-13,1501.97998046875,1502.52001953125,1469.8800048828125,1472.8800048828125,1472.8800048828125,1953240000,1486.2000122070312,32.6400146484375,1.193801760673523,106.81999969482422,8.266900062561035,1.0,14323.017,2.2577613
2004-04-14,1464.3199462890625,1485.280029296875,1463.6300048828125,1475.6600341796875,1475.6600341796875,1832200000,1474.4550170898438,21.6500244140625,1.1947003602981567,108.66999816894531,8.26720142364502,1.0,14323.017,2.2577613
2004-04-15,1479.56005859375,1481.77001953125,1449.4000244140625,1459.449951171875,1459.449951171875,1956010000,1465.5850219726562,32.3699951171875,1.1986957788467407,108.20999908447266,8.26710033416748,1.0,14323.017,2.2577613
2004-04-16,1458.510009765625,1460.3900146484375,1440.56005859375,1449.06005859375,1449.06005859375,1870420000,1450.4750366210938,19.8299560546875,1.2002928256988525,107.80000305175781,8.266900062561035,1.0,14323.017,2.2577613
2004-04-19,1448.8900146484375,1473.530029296875,1448.030029296875,1473.47998046875,1473.47998046875,1672830000,1460.780029296875,25.5,1.2006964683532715,108.38999938964844,8.266799926757812,1.0,14323.017,2.2577613
2004-04-20,1473.97998046875,1479.6800537109375,1436.8900146484375,1436.9000244140625,1436.9000244140625,1921740000,1458.2850341796875,42.7900390625,1.184805989265442,108.95999908447266,8.266799926757812,1.0,14323.017,2.2577613
2004-04-21,1446.02001953125,1452.9200439453125,1434.1600341796875,1451.010009765625,1451.010009765625,2053970000,1443.5400390625,18.760009765625,1.1810001134872437,109.3499984741211,8.266900062561035,1.0,14323.017,2.2577613
2004-04-22,1450.3800048828125,1488.739990234375,1449.06005859375,1485.5,1485.5,2147870000,1468.9000244140625,39.679931640625,1.1925063133239746,109.37999725341797,8.267000198364258,1.0,14323.017,2.2577613
2004-04-23,1492.239990234375,1497.1700439453125,1484.3599853515625,1497.010009765625,1497.010009765625,1927300000,1490.7650146484375,12.81005859375,1.1850025653839111,109.16000366210938,8.266900062561035,1.0,14323.017,2.2577613
2004-04-26,1496.6700439453125,1499.449951171875,1474.7900390625,1480.530029296875,1480.530029296875,1727680000,1487.1199951171875,24.659912109375,1.1861974000930786,108.62999725341797,8.266799926757812,1.0,14323.017,2.2577613
2004-04-27,1485.6700439453125,1495.6199951171875,1476.4200439453125,1479.469970703125,1479.469970703125,1971610000,1486.02001953125,19.199951171875,1.1929045915603638,109.5199966430664,8.266799926757812,1.0,14323.017,2.2577613
2004-04-28,1475.8800048828125,1476.030029296875,1449.22998046875,1453.030029296875,1453.030029296875,2037420000,1462.6300048828125,26.800048828125,1.1843008995056152,110.0199966430664,8.246801376342773,1.0,14323.017,2.2577613
